,regNo,name
243,11014,اندوخته ملت
244,11460,امین یکم فردا
245,11367,پاداش سهامداری توسعه یکم
246,11090,نگین رفاه
247,11741,الماس کوروش
248,11665,زمرد نو ویرا ذوب آهن
249,11008,بانک ایران زمین
250,11385,توسعه تعاون صبا
251,10919,گنجینه زرین شهر
252,11512,اختصاصی بازارگردانی توسعه معادن و فلزات آرمان
253,11673,گنجینه داریوش
254,10748,مشترک فراز اندیش نوین
255,11661,پیشگامان سرمایه نوآفرین
256,10778,امین ملت
257,11098,لوتوس پارسیان
258,11310,با درآمد ثابت کاردان
259,11340,سپهر خبرگان نفت
260,11495,سرآمد بازار
261,11142,ره آورد آباد مسکن
262,11562,ثابت نامی مفید
263,11701,اندوخته آمیتیس
264,11499,گنجینه یکم آوید
265,10765,مشترک آتیه نوین
266,10929,امین سامان
267,10883,بانک گردشگری
268,11756,اتحاد آرمان اقتصاد
269,11476,نیکوکاری لوتوس رویان
270,11442,مشترک صبای هدف
271,10885,تجربه ایرانیان
272,11316,اختصاصی بازارگردانی گسترش صنعت دارو
273,11256,نیکوکاری دانشگاه تهران
274,11427,نیکوکاری فردای روشن
275,11290,نیکوکاری دانشگاه الزهرا
276,11148,مشترک البرز
277,11896,خصوصی کمان کاریزما
278,11386,اختصاصی بازارگردانی آرمان انصار
279,11168,مشترک اندیشه فردا
280,11882,اختصاصی بازارگردانی هدف
281,11679,اختصاصی بازارگردانی توسعه فیروزه پویا
282,11813,اختصاصی بازارگردانی لاجورد دماوند
283,11435,اختصاصی بازارگردانی گروه گردشگری ایرانیان
284,11407,اختصاصی بازارگردانی کوشا الگوریتم
285,11726,جسورانه فیروزه
286,11538,اختصاصی بازارگردانی سهم آشنا یکم
287,11769,اختصاصی بازارگردانی امین
288,11746,جسورانه پارتیان
289,11306,اختصاصی بازارگردانی حکمت ایرانیان یکم
290,10837,یکم کارگزاری بانک کشاورزی
291,11318,اختصاصی بازارگردان گروه توسعه بهشهر
292,11480,جسورانه یکم آرمان آتی
293,11540,پروژه آرمان پرند مپنا
294,11797,جسورانه ستاره برتر
295,11281,اختصاصی بازارگردانی افتخار حافظ
296,11681,اختصاصی بازارگردانی الگوریتمی امید فارابی
297,10830,مشترک عقیق
298,10923,نهال سرمایه ایرانیان
299,11704,اختصاصی بازارگردانی نهایت نگر
300,11931,اختصاصی بازارگردانی توسعه سهام عدالت
301,11960,خصوصی دیوان ارزش
302,11968,بازده بورس
303,11976,نوع دوم افق آتی
304,11978,اختصاصی بازارگردانی کارگزاری کارآفرین
305,11982,اختصاصی بازارگردانی فناوری هیرکانیا
306,11983,خزانه داریوش
307,11985,در سهام برلیان
308,11986,اختصاصی بازارگردانی سورین
309,11987,اختصاصی بازارگردانی توازن نوید
310,11989,در اوراق بهادار با درآمد ثابت خلیج فارس
311,11990,مختص اوراق دولتی خلیج فارس
312,11993,ثابت آوند مفید
313,11994,اختصاصی بازارگردانی پاینده
314,11995,ترنج سودمند
315,11996,شکوه بامداد زاگرس
316,11997,شکوه اوج دماوند
317,11998,ثروت هیوا
318,12002,لبخند فارابی
319,12005,اختصاصی بازارگردانی کارون
320,12006,طلای آسمان آلتون
321,12008,در اوراق بهادار مبتنی بر سکه طلا نهایت نگر
322,12009,تضمین اصل سرمایه کاریزما
323,12010,مختص اوراق دولتی ندای ماندگار دماوند
324,12012,در اوراق بهادار مبتنی بر طلای صبا
325,12015,مروارید آگاه
326,12017,نوع دوم پایدار نو ویرا
327,12018,ترمه ایساتیس پویا
328,12020,اختصاصی بازارگردانی پیشرفت سرمایه
329,12021,تضمین اصل سرمایه مفید
330,12022,نوید دانایان پارس
331,12023,زرین نهال ثنا
332,12024,نوع دوم رایکا
333,12027,املاک و مستغلات مدیریت ارزش مسکن
334,12031,نوع دوم اعتبار
335,12033,سهامی اهرمی توان مفید
336,12035,سهامی اکسیژن
337,12039,دریای آبی فیروزه
338,12042,بازده پایدار
339,12045,بازده پایه بازار صبا
340,12047,اختصاصی بازارگردانی پویا اطلس
341,12048,پرتو پایش پیشرو
342,12050,پایا ثروت پویا
343,12051,اختصاصی بازارگردانی رابین سهم
344,12052,توسعه افق رابین
345,12053,در اوراق بهادار با درآمد ثابت سپرده ماندگار
346,12055,نوع دوم سام
347,12056,خصوصی اکسیر زیست پارسیان
348,12057,تمشک نماد رشد
349,12061,آرمان رایا یکم
350,12070,نوع دوم نیلی دماوند
351,12072,با تضمین اصل سرمایه کیان
352,12073,اختصاصی بازارگردانی کیمیای پرتو باران
353,12086,درین بها بازار
354,12087,اختصاصی بازارگردانی شهر
355,12091,راسا الگوریتم
356,12093,بخشی پتروشیمی آگاه
357,12099,اختصاصی بازار گردانی ملل
358,12127,سهامی اهرمی شتاب آگاه
359,11533,جسورانه آشنا تک ایرانیان
360,11479,جسورانه رویش لوتوس
361,11775,اختصاصی بازارگردانی کیان
362,11780,گروه زعفران سحرخیز
363,11822,اختصاصی بازارگردانی آرمان تدبیر نقش جهان
364,11617,اختصاصی بازارگردانی مفید
365,11091,اختصاصی بازارگردانی آرمان اندیش
366,11891,اختصاصی بازارگردانی آتیه باران
367,10763,مشترک نو اندیشان
368,11713,اعتبار سرمایه نوآفرین
369,11808,خصوصی ثروت آفرین فیروزه
370,11287,بازارگردانی نوین پیشرو
371,11772,طلای سرخ نو ویرا
372,11798,اختصاصی بازارگردانی میزان داریک
373,11903,اختصاصی بازارگردانی الگوریتم سرآمد بازار
374,11752,اختصاصی بازار گردانی نهایت اندیش اقتصاد بیدار
375,11687,اختصاصی بازارگردانی ایساتیس پویا
376,11346,اختصاصی بازارگردان توسعه ملی
377,11897,جسورانه پیشرفت
378,11419,اختصاصی بازگردانی اندیشه زرین پاسارگاد
379,11295,اختصاصی بازارگردانی گنجینه سپهر صادرات
380,11130,مشترک توسعه بازار سرمایه
381,11276,زمین و ساختمان نسیم
382,11371,زمین و ساختمان مسکن شمال غرب
383,11445,زمین و ساختمان مسکن نارون
384,11471,زمین و ساختمان نگین شهر ری
385,11514,صندوق تثبیت بازار سرمایه
386,11537,جسورانه توسعه فناوری آرمانی
387,11802,جسورانه سرو رشد پایدار یکم
388,11806,جسورانه پویا الگوریتم
389,11855,جسورانه رشد یکم پیشگام
390,11919,اختصاصی بازارگردانی یکم آسال
391,12081,جسورانه فناوری های تکاملی
392,12107,اختصاصی بازارگردانی پایش پایدار
393,12115,اختصاصی بازارگردانی بازده معاملات
394,12116,اختصاصی بازارگردانی برلیان
395,12124,جسورانه ارغوان
396,12126,اختصاصی بازارگردانی معاملات سرآمد
